industry,num_firms,revenue_growth_5y,pretax_operating_margin,aftertax_roc,effective_tax_rate,unlevered_beta,levered_beta,cost_of_equity,stdev_stock_price,pretax_cost_of_debt,market_debt_to_capital,cost_of_capital,sales_to_capital,ev_to_sales,ev_to_ebitda,ev_to_ebit,price_to_book,trailing_pe,noncash_wc_pct_revenue
Coal & Related Energy,212,0.1417645794392523,0.160380928991067,0.1415339475997465,0.2253369140725343,1.133004876354471,1.142939745797756,0.1038475076884137,0.5863203643675186,0.060013,0.1659934006150313,0.09404396968593158,1.018141877124254,2.138494087796913,7.963502495488167,12.44827555769511,1.702759118798788,55.83822331560874,-0.03182386355455838
Computer Services,1225,0.1362441606714628,0.07559715564708971,0.2095530575895281,0.241104512501915,1.071576962077093,1.116690482307339,0.1023696741539032,0.4251425025648063,0.057772,0.1305361924568258,0.09463482640319927,3.754696569367509,1.462691531651747,14.62189410503168,18.50678978918463,3.988447812965845,57.1524916632356,0.2986624035760102
Computers/Peripherals,343,0.03269141263940521,0.1261161260895933,0.1991018502577356,0.1521153393536447,1.468198255805328,1.486104698951083,0.123167694550946,0.4355863705546168,0.057772,0.0582940538462114,0.1185011126646903,2.483535697457855,3.401964501723067,20.17631396252562,26.72844191888277,8.108983243361163,72.09569105131055,0.0468501235687087
Construction Supplies,804,0.1072884663536776,0.09709673046607357,0.09292383137761633,0.2179975327781559,0.916676263756567,1.034395575517056,0.09773647090161025,0.3731687162179469,0.057772,0.232374586691848,0.08504388578279709,1.225762869525703,1.801143397732801,12.30950884697506,18.06629251210746,2.085552014437456,113.953724234675,0.1741098942728497
Diversified,329,0.1528802214022139,0.1511301914180594,0.08984867749422655,0.1866219483750491,0.6525743978395595,0.7973881744550738,0.08439295422182067,0.3001957538334818,0.057772,0.3266130503117056,0.07091111524574394,0.713018226876631,2.142610860245727,10.93598617969207,13.87796565041826,1.219083164468916,30.90374249724573,0.06047307870750648
Drugs (Biotechnology),1193,0.2746880244399182,0.0747631386588691,0.02994251473785985,0.1514735874010796,1.180809226110082,1.23079009870406,0.1087934825570386,0.6551156857132975,0.067295,0.1099234313818439,0.1023551326284541,0.7137106650893518,7.941242537185091,16.7139255842355,77.6872538057531,6.16991008259856,161.4363708559394,0.2061185652369878
Drugs (Pharmaceutical),1260,0.1405023452380951,0.2307005981619253,0.1473728320717214,0.1785869778712996,0.9987543035477139,1.062590304522225,0.09932383414460129,0.4748578941902974,0.060013,0.129978872744778,0.09223528915158788,1.069789855397048,4.396216010054473,13.84795033944487,18.25249834262768,4.168315605852477,87.1395900402255,0.1854197434266482
Education,281,0.1620242780748663,0.1592522447774741,0.1436168305911461,0.2182083391157739,0.7445772281882472,0.8117409279101255,0.08520101424134008,0.4191251235753797,0.057772,0.2224420101713282,0.07583937082027092,1.158577029914721,2.059812675436004,8.96222721383151,12.6386234104291,1.875245666387401,43.56981844578971,0.05962165675968654
Electrical Equipment,1158,0.1226251446540881,0.08346886353166785,0.1144961316091309,0.2082826655740018,1.340641028310137,1.37347459397753,0.116826619640935,0.4675953653347252,0.060013,0.1207865686939959,0.1081252859545784,1.76125580909048,2.773452136969885,20.85572741582318,31.70450980225604,4.043956201786439,68.10792996666788,0.2234405368112239
Electronics (Consumer & Office),122,0.0487872,0.06024299069552206,0.08067930496038599,0.2022039970998216,1.192587261247057,1.197057726576267,0.1068943500062438,0.4363352385632949,0.057772,0.1404077849602574,0.09793926694899856,1.905898248521927,1.039260705734136,10.74168895955012,16.90140412881469,2.039730177567915,41.30178588943661,0.05190685604887678
Electronics (General),1481,0.06761983578219538,0.06285178727031872,0.08238339577137488,0.2069309978310537,1.568504800835242,1.598188009962662,0.1294779849608979,0.4437466205926912,0.057772,0.1241014389380188,0.1187602444873785,1.696701573690425,2.228538017319137,18.73319590271263,33.64228784866712,3.321911464681992,71.38356122051283,0.1842233323915506
