industry,num_firms,revenue_growth_5y,pretax_operating_margin,aftertax_roc,effective_tax_rate,unlevered_beta,levered_beta,cost_of_equity,stdev_stock_price,pretax_cost_of_debt,market_debt_to_capital,cost_of_capital,sales_to_capital,ev_to_sales,ev_to_ebitda,ev_to_ebit,price_to_book,trailing_pe,noncash_wc_pct_revenue
Paper/Forest Products,6,-0.003399999999999999,0.06344838859073201,0.1041420566237548,0.2584269662921349,0.7696751455408247,0.9579784309693652,0.08222583802123369,0.5694450238249283,0.052913,0.3040485120489803,0.0692912835074329,1.73179843318611,1.020398600175488,8.183282663311115,15.51040551393499,1.828131930747315,12.85053914674168,0.1324452193496245
Power,46,0.06735309523809524,0.2146995662202426,0.06921872420290816,0.1301368060411489,0.314578407757456,0.4824326713170223,0.06101649714073919,0.2537998869785569,0.047306,0.4257779210749665,0.0501434075876579,0.371733512663962,4.695806461850637,12.38141031908174,21.85908592325744,2.275661991140573,24.74117191376893,0.03079340958638991
Precious Metals,56,0.4604545454545454,0.403887750601932,0.2545163786242219,0.2874659709052919,0.8308962073401722,0.8365606512291942,0.07681060504482207,0.6994720354601837,0.060195,0.06786940112454905,0.0746615642309349,0.6777961663635823,5.981737028870388,10.67634114443133,14.28466837764744,3.640098684621532,26.79862442032861,0.09099951355271327
Publishing & Newspapers,19,0.0003991666666666645,0.09982688889791565,0.1763277324445891,0.2680075404995325,0.511884073790114,0.563007176601541,0.06461012007642873,0.3592530970001513,0.050672,0.1931571646372665,0.05947095736046711,2.164889673938959,1.699407002413518,11.2378175894095,17.16106357418429,2.28394156252412,15.18043676597106,0.1289180360509259
R.E.I.T.,190,0.1259025625,0.246434046710382,0.03203080280639824,0.03512976173437265,0.4005418496731121,0.6417984635762964,0.06812421147550282,0.2636928702689285,0.047306,0.4578858440045514,0.05317666020925715,0.1465432779057035,10.65057083182297,19.87117600341005,42.72529234608724,1.991515224376197,36.95445006717891,1.39671699245857
Real Estate (Development),14,0.2860833333333333,0.2152656124970027,0.07043355884782262,0.2529066927210552,0.564103618717777,0.8435660615974878,0.07712304634724795,0.5210233738934074,0.052913,0.5045319836293547,0.05823422842746732,0.3495106734844037,3.033511815931911,10.23049851021993,13.49146090212142,0.9934847852491724,11.35316344990594,0.01643868833201774
Real Estate (General/Diversified),12,0.09596799999999998,0.2145171149144254,0.05194923071492735,0.1703422523879273,0.6269536358598106,0.8099864769457396,0.07562539687177999,0.3120953532502339,0.050672,0.3487895535244244,0.06250344665390668,0.2466617017312334,6.826157864808295,17.28687007890765,26.87368409371554,1.163963071324957,40.24898788383488,2.571677872860636
Real Estate (Operations & Services),54,0.1262712121212121,0.02850826824287702,0.05942697407534873,0.1958040125979997,0.8575864326620388,0.9654974066610451,0.08256118433708262,0.505596255690735,0.052913,0.1977040296597951,0.07408434049119778,2.516898805983872,1.463930180972637,21.95100173629954,49.59227496980819,3.064134350613933,107.335255977598,0.09828580031656807
Recreation,49,0.0914083333333333,0.0969331006904999,0.08024512691065157,0.2598016946931607,0.7364987182992697,1.02347270022497,0.08514688243003364,0.4830813033858449,0.052913,0.3864674292017484,0.0675772489837691,1.2420065495162,1.94042778252431,10.39087231942838,23.95732461794663,4.027683457299504,119.0149869199765,0.1501093095182446
Reinsurance,1,0.09390000000000001,0.07213952654232425,0.1014433811591443,0.3035856573705179,0.5777016987693434,0.5813323223955235,0.06542742157884035,0.1921142517209114,0.047306,0.3029767056496862,0.05635389895782815,2.013612127842784,0.6526502811858702,8.670902949469651,9.021948392609385,1.02311753902663,15.42110726643599,0.01425753228120516
